,index,diagnoses_mae,deaths_mae
0,0,6.651774394251,0.9656702028476304
1,1,6.8735934080435275,1.2202786827160674
2,2,7.784514141409845,1.288332723577353
3,3,6.920802800719668,1.2998278625455206
4,4,8.130327470146074,1.1972530578118716
5,5,7.826093943971553,1.2467637385309642
6,6,8.290319040445683,1.2434623067138195
7,7,7.646592228280451,1.0507698191721668
8,8,6.191803765161023,1.1783653191992547
9,9,8.323452860703977,1.194359537122519
10,10,7.476262642563132,1.4614857664067245
11,11,8.327425700750616,1.1731120763928495
12,12,6.376330158039837,1.3162721744740786
13,13,7.132827513337859,1.4500481525041133
14,14,7.588509973596861,1.4357381586972877
15,15,8.105929573124312,1.44356112263909
16,16,7.436798519922521,1.5884530012464373
17,17,6.339072512202691,1.500991245435682
18,18,8.039366421721777,1.2637506267740568
19,19,10.234043058895336,0.8396247598248009
20,20,5.597837758743527,1.602297286182739
21,21,8.123712984214409,1.5739097912568396
22,22,6.972563715055734,1.429999748605867
23,23,6.918078333357219,1.2129694994302698
24,24,7.463245708853702,1.1786999534046487
25,25,7.321804669357506,1.545538346206393
26,26,8.317720839636248,1.5294091506279306
27,27,6.462648568318959,1.3841149171520324
28,28,9.275065137648939,1.0476608851416147
29,29,8.835318903118937,1.3352484657499546
30,30,8.797365328063156,1.531472317618002
31,31,6.421882611954279,1.1458905340413459
32,32,7.95196005974814,1.300031390790239
33,33,8.721202177709898,1.1928641975291372
34,34,6.771370341223471,1.234692756301247
35,35,6.806344342471272,1.1955717718755983
36,36,6.714484332771739,1.338368245707775
37,37,8.472778252496433,1.4033578316990476
38,38,9.624910224902035,1.2972070277720544
39,39,7.994750073432746,1.418381783862073
40,40,8.133650429913711,1.5808222747049316
41,41,7.569456244066209,1.2826375691572924
42,42,8.797189619246808,1.385586662431015
43,43,7.041823294212246,1.2057547616330184
44,44,7.677346931805033,1.1760224959087278
45,45,7.1725941335055765,1.4887499800170911
46,46,6.79022200874923,1.567255205736127
47,47,7.6228959451062055,1.2338655502167073
48,48,7.847791100766962,1.5644599186004133
49,49,8.725958133378375,1.7578289361001982
50,50,7.035436224480011,1.257943481810751
51,51,9.499758405255099,1.398940901143622
52,52,7.756418319372942,1.4841334400267199
53,53,7.361861028912591,1.3093743501471635
54,54,8.018179743981069,1.3756842759881356
55,55,10.021620143722403,1.4607593601058289
56,56,7.941043948104451,1.127633483046258
57,57,9.531402328656377,1.4445987798302649
58,58,9.536423703654497,1.46756990118951
59,59,7.843303166045659,1.7081286740905526
60,60,8.494709965269076,1.1633713046160838
61,61,6.522320534815242,1.6470230712719256
62,62,8.86308607957083,1.459134102308566
63,63,8.1780615109733,1.2906956337579087
64,64,6.411589856129362,1.1644290905303312
65,65,8.87368242511741,1.2530692805140176
66,66,8.801475577982682,1.1073350498426993
67,67,6.276578646505598,1.3511102764054772
68,68,7.802438932666074,1.3341646550416872
69,69,11.82732022990486,1.5675031061060618
70,70,9.930365786652503,1.4768298938823887
71,71,6.852011355889084,1.3964983655413357
72,72,5.612306511160223,1.6216908426370256
73,73,9.987561798755022,1.400770534795839
74,74,7.898600487245442,1.4372187935517067
75,75,9.843665246596588,1.1074071093278788
76,76,9.904546085242455,1.3403880980644094
77,77,7.290732669298462,1.4341402710304756
78,78,7.873648315141358,1.5802017047588688
79,79,6.946897457795584,1.395746827487752
80,80,9.559797230829014,1.3140160343308598
81,81,9.255174326953398,1.1645472571045878
82,82,9.944566242610565,1.2470245268515383
83,83,7.448375698756626,1.3063977402205103
84,84,9.939154512683714,1.2767338582922154
85,85,11.110437710129766,1.2793887885997919
86,86,9.960605835467485,1.4825394735669286
87,87,10.348281414564369,1.541756975068857
88,88,11.852481933363952,1.1298878177924583
89,89,9.937260550010343,0.8609568194759409
90,90,6.150430314203856,1.2475003525415505
91,91,7.695579269017385,1.4181165663251765
92,92,8.976324063674028,1.4412353975549543
93,93,7.872571074740514,1.0267617537255556
94,94,8.046781123481539,1.6578708734205294
95,95,10.982373799015155,1.2515970338550255
96,96,7.683448276192385,1.2830717537689176
97,97,11.404838679416715,1.287847758495537
98,98,6.651750633961278,1.279617691952328
99,99,8.12420909783961,1.2466669635719292
100,100,8.94434988022532,1.4520799164007245
101,101,8.747247000715731,1.4418526875496718
102,102,9.919568449404807,1.1717185525587048
103,103,7.699099782978459,1.4712812033443907
104,104,11.49440223521793,1.240234352309801
105,105,8.881656393584949,1.3581147598331482
106,106,8.805476708205315,1.4674341161813633
107,107,11.324352866866713,1.2378054759453088
108,108,8.286138243922972,1.4327938024920654
109,109,10.551808709068139,1.4103646544238855
110,110,7.532953113397956,1.4065937515943865
111,111,9.564150138853353,1.4915900805890943
112,112,12.424184611641886,1.205575360162478
113,113,10.100658057705903,1.436017212948977
114,114,8.653905243164468,1.3431888082287702
115,115,11.244012891545198,1.108750933997754
116,116,8.150996821942423,1.5661924020211135
117,117,8.903093237430921,1.70015223359507
118,118,7.654688901775155,1.1227090543579687
119,119,9.459650811568705,1.5900666141535817
120,120,8.732248031846197,1.3771438293924185
121,121,11.905360770317431,1.570051164320237
122,122,8.160253815417983,1.6677798601674716
123,123,15.031238026178645,1.2167880489955865
124,124,5.777127695893099,1.4000518275959228
125,125,8.175052422009207,1.428754268081005
126,126,7.693209630440619,1.3790271192655947
127,127,8.940442530363075,1.5147542492332793
128,128,8.58598760045479,1.29100432663221
129,129,5.288303422309069,1.3517836728731998
130,130,9.358856472668492,1.2650613742079173
131,131,9.50000171348651,1.29949037079316
132,132,10.4521480486675,0.9840033503404747
133,133,7.558981789677667,1.2545756126818723
134,134,8.964568557679899,1.601374374053837
135,135,7.8113845233299495,1.4703239040861884
136,136,13.920733240292176,1.4701696604804817
137,137,9.535018720971127,1.238934708531185
138,138,8.279264901676916,1.2163264604127522
139,139,7.26365838640492,1.4723655828656703
140,140,7.4754748181717074,1.6107100827333616
141,141,9.952501159674053,1.4249086268600033
142,142,12.052813240082589,1.538931758582706
143,143,8.983563194526583,1.6916242679049607
144,144,9.938832750154063,1.6170083405313072
145,145,7.226818326690698,1.3767363560175936
146,146,8.923010732565388,1.629841519790499
147,147,6.79140310509201,1.5723051113342943
148,148,8.166903277418848,1.7885909516424452
149,149,8.29559149457702,1.2460676620218103
150,150,5.566959979897539,1.3449156943208749
151,151,7.76008109411967,1.250242004321333
152,152,6.1214446453141775,1.8067052352357122
153,153,11.096450541667922,1.6881373500905827
154,154,9.209077335921487,1.28813792305394
155,155,11.317638116098557,1.1872059228300558
156,156,12.555216422946273,1.4546804736410934
157,157,11.647241702361846,1.6879991402033219
158,158,9.345533863677778,2.085182866818245
159,159,6.203537416329591,1.6225334890522323
160,160,9.091293566751387,1.588821289342972
161,161,10.061945096301235,1.677094726235852
162,162,7.379176164488296,1.8650182798229844
163,163,9.926784760760766,1.7849257420939366
164,164,8.949324247862222,1.211370279003458
165,165,8.681138674957733,1.5084386190130723
166,166,8.285829873258278,1.7885173010924964
167,167,9.91074156603081,1.7037732297829018
168,168,7.876144790217777,1.2690286104932393
169,169,6.470854475276689,1.833195545178501
170,170,5.150595151325871,1.64801456710306
171,171,7.523921145226904,1.50643236459625
172,172,10.890748402673065,0.9655704964599169
173,173,7.569582580796924,1.6447143202133236
174,174,6.8037661911718175,2.1710283943396056
175,175,9.102489230060403,1.376135483856518
176,176,9.840261493508079,1.529150726886133
177,177,12.401991125916636,1.9148644356642812
178,178,5.198515530637095,1.3956343643901592
179,179,8.856356829769114,1.386659719213481
180,180,7.514865855455581,1.5225416208036275
181,181,6.658511033050135,1.5170141416476186
182,182,7.248592815377745,1.2600236840960835
183,183,7.469825730824158,1.5748838532154203
184,184,12.027984419934542,1.4417371604434992
185,185,9.688308999036659,1.5477306757685727
186,186,8.877235715062493,1.4635815157739922
187,187,9.698509014034006,1.5556278428529855
188,188,11.188755545148465,1.3003936328796624
189,189,11.925061856455656,1.5699486489784082
190,190,8.537101065121382,1.3682597278133728
191,191,9.194289182296512,1.7452608311427462
192,192,8.812171749044364,1.2038192859880783
193,193,9.043511886609862,1.2909156406794766
194,194,11.55472237986418,1.1490494119156618
195,195,6.624114745708147,1.5869741542919518
196,196,12.92457621214547,1.5183678495343604
197,197,8.258698972670809,1.4724662284904648
198,198,10.568433206313976,1.4387844189249308
199,199,6.5707176872796005,1.9117354061677776
